id_familia,renda_familiar,gasto_familiar,autores_trabalho
1,9714,3011,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
2,3728,1305,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
3,6062,1879,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
4,8845,2654,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
5,8378,2849,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
6,3338,1068,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
7,8507,2892,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
8,7947,2543,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
9,9915,3074,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
10,1632,849,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
11,6825,2184,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
12,8918,2943,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
13,4100,1357,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
14,9184,2755,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
15,6180,2163,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
16,9997,3099,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
